-0.00324283 0.0143257 -0.00618876 0.999873 
7.80229 4.06401 5.08505 0 0
7.901 4.0726 5.08418 0 0
7.9652 4.0769 5.02794 0 0
8.0286 4.08334 5.04128 0 0
8.05993 4.08722 5.06883 0 0
8.12522 4.11147 5.69458 0 0
8.15156 4.09708 5.0819 0 0
8.18095 4.09789 4.99811 0 0
8.2409 4.10837 5.13673 0 0
8.3003 4.1205 5.33103 0 0
8.32717 4.11501 5.02456 0 0
8.3841 4.12077 4.99617 0 0
8.5262 4.14163 5.17577 0 0
8.55339 4.14046 5.03633 0 0
8.63746 4.14839 5.03557 0 0
8.72113 4.15627 5.03482 0 0
8.74923 4.16061 5.09024 0 0
9.02277 4.19532 5.19895 0 0
9.10341 4.20664 5.25384 0 0
9.36703 4.25313 5.57123 0 0
9.44456 4.26879 5.66781 0 0
9.59711 4.29122 5.58262 0 0
9.62303 4.29713 5.65194 0 0
6.81512 4.03442 5.64933 0 0
6.94026 4.04357 5.62042 0 0
6.97204 4.04646 5.63407 0 0
7.00266 4.04337 5.43894 0 0
7.09962 4.05203 5.47987 0 0
7.16485 4.0566 5.4654 0 0
7.19671 4.05433 5.2981 0 0
7.23018 4.05887 5.36741 0 0
7.29647 4.06327 5.33901 0 0
7.39626 4.0681 5.2268 0 0
7.42974 4.07004 5.19867 0 0
7.49751 4.07669 5.23984 0 0
7.53151 4.08021 5.26739 0 0
7.56527 4.08249 5.25318 0 0
7.59867 4.08316 5.1833 0 0
7.63241 4.08542 5.16909 0 0
7.69918 4.08756 5.05717 0 0
7.73306 4.09144 5.09863 0 0
7.89946 4.10884 5.22245 0 0
8.08797 4.11985 4.98414 0 0
8.11857 4.12337 4.99777 0 0
8.14885 4.12692 5.01141 0 0
8.17868 4.12972 4.99721 0 0
8.2085 4.13373 5.02477 0 0
8.26726 4.14103 5.05205 0 0
8.32485 4.1468 5.02366 0 0
8.46648 4.1624 4.99446 0 0
8.52281 4.16934 5.02176 0 0
8.77412 4.19389 5.01947 0 0
8.8844 4.2083 5.08801 0 0
8.99401 4.22754 5.28179 0 0
9.07434 4.23672 5.25316 0 0
9.18129 4.25388 5.37736 0 0
9.20801 4.25948 5.44668 0 0
9.39105 4.2937 5.66743 0 0
9.49288 4.30836 5.58279 0 0
6.6301 4.06412 6.03969 0 0
6.68855 4.05531 5.56595 0 0
6.87487 4.07156 5.62003 0 0
6.93757 4.07577 5.59165 0 0
7.00031 4.07719 5.46585 0 0
7.03269 4.08128 5.52125 0 0
7.16138 4.08563 5.32529 0 0
7.19367 4.08535 5.22758 0 0
7.29368 4.09548 5.31024 0 0
7.39608 4.11231 5.61557 0 0
7.49458 4.1085 5.19716 0 0
7.56269 4.11583 5.26617 0 0
7.76407 4.12707 5.11134 0 0
7.83042 4.13163 5.08294 0 0
7.86331 4.13395 5.06873 0 0
7.96095 4.14312 5.09571 0 0
8.05506 4.14954 5.01135 0 0
8.08545 4.15057 4.94148 0 0
8.1463 4.1576 4.96876 0 0
8.23597 4.17037 5.07926 0 0
8.26541 4.17482 5.12074 0 0
8.32318 4.18136 5.12019 0 0
8.35056 4.17906 4.92506 0 0
8.43601 4.19098 4.99383 0 0
8.46993 4.22061 5.91215 0 0
8.54827 4.20298 4.97885 0 0
8.66144 4.21852 5.14485 0 0
8.80042 4.23412 5.18531 0 0
8.85412 4.2349 4.98993 0 0
8.90877 4.24199 5.00331 0 0
8.96321 4.25016 5.04453 0 0
8.99132 4.25889 5.22519 0 0
9.04436 4.26255 5.11331 0 0
9.23128 4.29384 5.34804 0 0
9.41438 4.33096 5.65228 0 0
6.41564 4.09128 6.43031 0 0
6.47421 4.08384 5.99832 0 0
6.56529 4.08755 5.87227 0 0
6.59681 4.09393 6.01119 0 0
6.62747 4.0963 6.01092 0 0
6.77841 4.0943 5.52248 0 0
6.84038 4.09841 5.49411 0 0
6.90269 4.1022 5.45182 0 0
6.93419 4.10472 5.45154 0 0
6.99645 4.10416 5.25615 0 0
7.0303 4.11506 5.54815 0 0
7.12615 4.1165 5.33856 0 0
7.15862 4.11778 5.29652 0 0
7.19108 4.1183 5.22665 0 0
7.22411 4.12084 5.22637 0 0
7.45771 4.13673 5.12693 0 0
7.53136 4.16968 6.0867 0 0
7.59303 4.14727 5.12577 0 0
7.62626 4.14701 5.02806 0 0
7.66683 4.1803 6.09947 0 0
7.72763 4.15542 5.05504 0 0
7.76247 4.164 5.26353 0 0
7.79356 4.15621 4.90137 0 0
7.86021 4.16349 4.97039 0 0
7.9257 4.16973 4.99766 0 0
7.95789 4.1721 4.98346 0 0
8.02221 4.1814 5.10816 0 0
8.08351 4.18415 4.99625 0 0
8.11373 4.18601 4.95422 0 0
8.26427 4.21177 5.30078 0 0
8.32177 4.21707 5.25847 0 0
8.4057 4.22018 5.02104 0 0
8.54634 4.23637 5.03362 0 0
8.62998 4.24217 4.94935 0 0
8.65897 4.24974 5.11611 0 0
8.7139 4.25183 4.99033 0 0
8.76948 4.2586 5.01765 0 0
8.90645 4.27464 5.00239 0 0
8.96093 4.2829 5.0436 0 0
9.04223 4.29625 5.14021 0 0
9.06864 4.29809 5.08427 0 0
9.1233 4.31139 5.30643 0 0
9.22854 4.32522 5.27751 0 0
9.3594 4.34997 5.44313 0 0
6.80691 4.12922 5.50737 0 0
6.83749 4.12927 5.42359 0 0
6.90074 4.13748 5.5344 0 0
6.93118 4.13522 5.36711 0 0
6.96289 4.13815 5.38075 0 0
7.02562 4.1384 5.21319 0 0
7.09013 4.14294 5.19872 0 0
7.12271 4.14541 5.19845 0 0
7.28776 4.1581 5.19704 0 0
7.3604 4.1898 6.11506 0 0
7.38764 4.16375 5.11267 0 0
7.42111 4.16568 5.08454 0 0
7.52203 4.17219 5.028 0 0
7.65764 4.18301 5.05469 0 0
7.69209 4.18869 5.16575 0 0
7.75797 4.18773 4.95641 0 0
7.82915 4.21363 5.67958 0 0
7.89042 4.19812 4.95528 0 0
7.92282 4.20001 4.92716 0 0
7.95433 4.19912 4.80162 0 0
8.23216 4.23758 5.20273 0 0
8.3209 4.25516 5.48027 0 0
8.34576 4.24124 4.88152 0 0
8.43959 4.29101 6.2725 0 0
8.48854 4.2643 5.11677 0 0
8.51598 4.2646 5.01907 0 0
8.54352 4.26514 4.9353 0 0
8.59946 4.26999 4.90695 0 0
8.62763 4.27359 4.93453 0 0
8.82158 4.29412 4.90486 0 0
8.95812 4.31312 4.95917 0 0
9.0398 4.32823 5.11145 0 0
9.17725 4.36695 5.83384 0 0
9.27852 4.36676 5.28993 0 0
9.3825 4.38543 5.37232 0 0
9.48511 4.4018 5.3712 0 0
6.40841 4.14714 6.0805 0 0
6.4383 4.14603 5.95497 0 0
6.77375 4.16078 5.54846 0 0
6.80448 4.16202 5.50644 0 0
6.86706 4.16818 5.54766 0 0
6.89759 4.1671 5.42213 0 0
6.9603 4.17058 5.36591 0 0
7.08766 4.17617 5.21171 0 0
7.15287 4.1807 5.19724 0 0
7.18575 4.1832 5.19696 0 0
7.21841 4.18413 5.14101 0 0
7.25182 4.1879 5.18248 0 0
7.31748 4.18876 5.02881 0 0
7.35122 4.19263 5.07028 0 0
7.45174 4.19919 5.01374 0 0
7.5193 4.20457 5.01315 0 0
7.55352 4.20869 5.06854 0 0
7.58707 4.20955 5.01258 0 0
7.65503 4.21564 5.05377 0 0
7.68941 4.22089 5.15091 0 0
7.72176 4.21736 4.94186 0 0
7.82169 4.22372 4.89926 0 0
7.95191 4.23182 4.81462 0 0
8.07759 4.2431 4.81351 0 0
8.19962 4.26273 5.07684 0 0
8.42949 4.28655 5.01899 0 0
8.6538 4.31026 5.00296 0 0
8.76485 4.32262 5.00191 0 0
8.79217 4.32468 4.95989 0 0
8.90131 4.33688 4.90313 0 0
9.00987 4.35333 4.97162 0 0
9.09054 4.36621 5.04039 0 0
9.11756 4.37186 5.10971 0 0
9.22366 4.3902 5.21995 0 0
9.30278 4.40649 5.37222 0 0
9.35427 4.4134 5.3299 0 0
9.45763 4.43207 5.4123 0 0
9.48351 4.43726 5.45377 0 0
6.70931 4.18755 5.50631 0 0
6.74034 4.19073 5.53388 0 0
6.77056 4.18994 5.42227 0 0
6.80164 4.19277 5.43592 0 0
6.83325 4.19764 5.51917 0 0
6.89462 4.19745 5.33769 0 0
6.92598 4.19959 5.3235 0 0
6.95704 4.19974 5.23972 0 0
6.98907 4.20349 5.2812 0 0
7.01996 4.20123 5.11391 0 0
7.08471 4.20693 5.1412 0 0
7.1177 4.21137 5.21051 0 0
7.14892 4.20706 4.97363 0 0
7.24871 4.21825 5.09805 0 0
7.31498 4.22189 5.04181 0 0
7.34863 4.22536 5.06936 0 0
7.75239 4.2508 4.88499 0 0
7.81877 4.25461 4.84267 0 0
7.88403 4.25694 4.74468 0 0
7.94882 4.2618 4.7302 0 0
8.04342 4.26883 4.68761 0 0
8.07475 4.27369 4.75693 0 0
8.1354 4.27874 4.72854 0 0
8.22473 4.28855 4.75555 0 0
8.31445 4.30979 5.17228 0 0
8.34734 4.3321 5.84007 0 0
8.45515 4.31958 4.96216 0 0
8.76243 4.35396 4.97316 0 0
8.81726 4.35954 4.93087 0 0
8.84414 4.36062 4.84709 0 0
8.87366 4.37415 5.19476 0 0
8.92913 4.38614 5.36123 0 0
8.98084 4.38267 4.98489 0 0
9.00687 4.38236 4.84544 0 0
9.0679 4.42372 6.02792 0 0
9.19485 4.4179 5.16362 0 0
9.22116 4.42221 5.17726 0 0
9.24712 4.42537 5.14915 0 0
9.37804 4.45153 5.35652 0 0
9.42913 4.458 5.30029 0 0
9.58283 4.48153 5.31258 0 0
6.33967 4.19858 5.75906 0 0
6.55405 4.21262 5.64587 0 0
6.61538 4.21686 5.63143 0 0
6.67601 4.21752 5.49173 0 0
6.73724 4.22025 5.42161 0 0
6.79907 4.22469 5.40716 0 0
6.82981 4.22556 5.35122 0 0
6.95401 4.22962 5.14137 0 0
6.98653 4.23577 5.26636 0 0
7.01873 4.23948 5.30784 0 0
7.05011 4.23836 5.18231 0 0
7.08098 4.23401 4.94543 0 0
7.11702 4.25246 5.50187 0 0
7.18521 4.26942 5.91886 0 0
7.21293 4.24798 5.08349 0 0
7.31293 4.25698 5.12439 0 0
7.37931 4.25951 5.02639 0 0
7.41268 4.26101 4.98435 0 0
7.64817 4.27324 4.78749 0 0
7.68221 4.27688 4.82896 0 0
7.71879 4.2925 5.28797 0 0
7.74944 4.28178 4.8284 0 0
7.84853 4.2865 4.73012 0 0
7.94658 4.29586 4.78496 0 0
7.97813 4.29651 4.71509 0 0
8.04131 4.30318 4.75629 0 0
8.19237 4.31516 4.67141 0 0
8.22406 4.32812 5.01909 0 0
8.25314 4.3303 4.99099 0 0
8.28606 4.35089 5.60311 0 0
8.33975 4.33941 4.99018 0 0
8.53503 4.34984 4.5986 0 0
8.56533 4.36328 4.96021 0 0
8.59324 4.36595 4.94603 0 0
8.8145 4.38944 4.84645 0 0
8.84192 4.39297 4.84617 0 0
9.16635 4.44712 5.16296 0 0
9.21895 4.45542 5.17632 0 0
9.29757 4.46947 5.24507 0 0
9.32376 4.4747 5.28655 0 0
9.55536 4.51154 5.33975 0 0
9.60688 4.52085 5.40881 0 0
6.27566 4.2288 5.84218 0 0
6.39827 4.23462 5.70194 0 0
6.42833 4.23391 5.59033 0 0
6.51982 4.23812 5.47819 0 0
6.67354 4.24981 5.47689 0 0
6.70452 4.25297 5.50446 0 0
6.79573 4.25298 5.25314 0 0
6.82777 4.25983 5.40597 0 0
6.85754 4.25591 5.18302 0 0
6.88841 4.25641 5.11316 0 0
6.92054 4.26213 5.22423 0 0
6.98413 4.26838 5.26544 0 0
7.01545 4.26808 5.16774 0 0
