-0.0938113 0.00156241 0.13404 0.986524 
3.50027 3.13969 5.06072 0 0
3.67365 3.11029 5.6793 0 0
3.65246 3.09969 5.11612 0 0
3.68512 3.09145 5.13812 0 0
3.74546 3.07552 5.15471 0 0
3.77835 3.06721 5.17666 0 0
3.80357 3.05979 5.15756 0 0
3.83405 3.05174 5.1658 0 0
3.86465 3.04365 5.17401 0 0
3.90821 3.03399 5.25061 0 0
3.9569 3.01916 5.19856 0 0
4.00591 3.00879 5.30246 0 0
4.03947 3.00023 5.32428 0 0
4.10164 2.98365 5.34051 0 0
4.14312 2.97409 5.40333 0 0
4.44037 2.93411 6.82036 0 0
4.27847 2.93948 5.49038 0 0
4.35918 2.92064 5.60228 0 0
4.37503 2.91417 5.52828 0 0
4.41154 2.90526 5.5637 0 0
4.4429 2.89701 5.57177 0 0
4.4717 2.88914 5.56615 0 0
4.50566 2.88072 5.5879 0 0
4.52676 2.87396 5.54124 0 0
4.58664 2.86268 5.69976 0 0
4.64982 2.84734 5.71584 0 0
4.70818 2.8333 5.7045 0 0
4.73493 2.82683 5.68513 0 0
4.77206 2.81926 5.72047 0 0
4.79634 2.81334 5.6874 0 0
4.831 2.80627 5.70905 0 0
4.85792 2.80018 5.68965 0 0
4.88746 2.79382 5.68393 0 0
4.97347 2.77511 5.6531 0 0
4.99523 2.76968 5.60635 0 0
5.0774 2.75409 5.71804 0 0
5.11455 2.74673 5.75338 0 0
5.22388 2.72151 5.68965 0 0
5.26397 2.71047 5.58261 0 0
5.30849 2.70203 5.65906 0 0
5.3452 2.69455 5.69448 0 0
5.38185 2.68709 5.72991 0 0
5.39777 2.68214 5.65593 0 0
5.46557 2.66808 5.6995 0 0
5.49416 2.66176 5.69396 0 0
5.54843 2.64961 5.66926 0 0
5.57923 2.64317 5.67748 0 0
5.64282 2.63015 5.7077 0 0
5.65491 2.626 5.62028 0 0
5.73547 2.61103 5.74647 0 0
5.73686 2.60823 5.60441 0 0
5.79247 2.59901 5.74961 0 0
5.81454 2.5938 5.71697 0 0
5.83153 2.58922 5.65697 0 0
5.8667 2.58254 5.6927 0 0
5.95798 2.56418 5.71757 0 0
5.98896 2.55795 5.72575 0 0
6.03325 2.55012 5.80226 0 0
6.08451 2.53867 5.7498 0 0
6.26543 2.50464 6.01251 0 0
6.31703 2.49501 6.10177 0 0
6.3415 2.48501 5.85597 0 0
6.40459 2.47398 5.99972 0 0
6.6167 2.42984 5.97285 0 0
2.57533 3.41647 4.88726 0 0
2.61234 3.40567 4.9509 0 0
2.7955 3.35668 5.14198 0 0
2.86311 3.33571 4.98701 0 0
2.96538 3.30841 4.88204 0 0
3.17785 3.27998 5.87595 0 0
3.09859 3.28617 5.32412 0 0
3.12195 3.2693 4.90829 0 0
3.21078 3.24707 4.96189 0 0
3.29636 3.22456 4.98774 0 0
3.34924 3.20976 4.97742 0 0
3.50511 3.18687 5.65616 0 0
3.43759 3.18615 5.00273 0 0
3.46734 3.17821 5.01111 0 0
3.49198 3.17085 4.99212 0 0
3.5296 3.16196 5.04151 0 0
3.59456 3.14546 5.08556 0 0
3.61933 3.13816 5.06655 0 0
3.6896 3.12109 5.13794 0 0
3.72225 3.11286 5.15993 0 0
3.73689 3.10675 5.08616 0 0
3.77229 3.09816 5.12181 0 0
3.83819 3.08147 5.16568 0 0
3.86614 3.07369 5.16023 0 0
3.89933 3.06526 5.18212 0 0
3.93002 3.05708 5.19031 0 0
3.96601 3.04827 5.22584 0 0
3.99429 3.04035 5.22032 0 0
4.02781 3.03177 5.24215 0 0
4.05883 3.02347 5.25028 0 0
4.14943 3.00343 5.41697 0 0
4.17285 2.99599 5.38404 0 0
4.2379 2.9789 5.41389 0 0
4.27433 2.9699 5.44933 0 0
4.30301 2.96181 5.44373 0 0
4.44894 2.92594 5.58545 0 0
4.48287 2.91737 5.6072 0 0
4.50649 2.91012 5.57423 0 0
4.53274 2.90265 5.55493 0 0
4.62159 2.88381 5.70781 0 0
4.66101 2.87524 5.75687 0 0
4.67212 2.87029 5.65545 0 0
4.70145 2.86335 5.64975 0 0
4.74121 2.85537 5.69876 0 0
4.78365 2.84722 5.76143 0 0
4.80289 2.84195 5.70098 0 0
4.817 2.83738 5.61317 0 0
4.87249 2.82793 5.74422 0 0
4.88923 2.82315 5.67008 0 0
4.93305 2.81239 5.57652 0 0
5.22563 2.76343 6.3139 0 0
5.12853 2.77205 5.63792 0 0
5.15274 2.7662 5.60487 0 0
5.18983 2.75879 5.64022 0 0
5.23974 2.74982 5.74398 0 0
5.25345 2.74514 5.65625 0 0
5.47958 2.71214 6.53409 0 0
5.34331 2.72533 5.65301 0 0
5.38006 2.71795 5.68842 0 0
5.40382 2.71216 5.65546 0 0
5.41461 2.70795 5.55411 0 0
5.52396 2.68643 5.66054 0 0
5.54728 2.68093 5.62766 0 0
5.58595 2.67364 5.67689 0 0
5.70483 2.64876 5.69641 0 0
5.71921 2.64436 5.62272 0 0
5.78398 2.63137 5.66689 0 0
5.81898 2.62463 5.70266 0 0
5.84889 2.61851 5.71104 0 0
5.90911 2.6063 5.72774 0 0
6.0037 2.58749 5.76615 0 0
6.03245 2.58151 5.76059 0 0
6.32968 2.52116 5.94406 0 0
6.34864 2.51534 5.85531 0 0
6.42348 2.49942 5.86916 0 0
6.47146 2.49033 5.93077 0 0
6.799 2.43052 6.16522 0 0
2.56243 3.45485 4.93308 0 0
2.96293 3.34569 5.11012 0 0
2.94005 3.34538 4.85931 0 0
2.96895 3.33885 4.88205 0 0
3.00317 3.33162 4.93212 0 0
3.02724 3.32549 4.92744 0 0
3.04891 3.31954 4.90904 0 0
3.123 3.29987 4.89461 0 0
3.21458 3.27723 4.96185 0 0
3.2378 3.27038 4.94313 0 0
3.27413 3.26191 4.99278 0 0
3.34999 3.24442 5.10562 0 0
3.51706 3.21589 5.69707 0 0
3.51866 3.19358 4.95924 0 0
3.56407 3.18376 5.04966 0 0
3.59396 3.17584 5.05801 0 0
3.63674 3.16638 5.13476 0 0
3.65371 3.16003 5.07472 0 0
3.67589 3.15307 5.04203 0 0
3.72398 3.143 5.14611 0 0
3.799 3.12094 5.08893 0 0
3.893 3.09638 5.12732 0 0
3.9314 3.08729 5.17656 0 0
4.03165 3.06163 5.24209 0 0
4.4478 2.9935 6.82029 0 0
4.2364 3.00924 5.38651 0 0
4.26248 3.00142 5.36723 0 0
4.30924 2.99114 5.45739 0 0
4.33795 2.98301 5.45178 0 0
4.37181 2.97429 5.47354 0 0
4.41862 2.96405 5.56369 0 0
4.44735 2.956 5.55808 0 0
4.48126 2.94736 5.57983 0 0
4.51004 2.93943 5.57422 0 0
4.54144 2.93128 5.58228 0 0
4.57032 2.92354 5.57665 0 0
4.63615 2.90767 5.60638 0 0
4.67575 2.8993 5.65541 0 0
4.71291 2.89146 5.69074 0 0
4.72696 2.88657 5.60293 0 0
4.76177 2.87939 5.62455 0 0
4.80438 2.87138 5.68719 0 0
5.07325 2.82826 6.45752 0 0
4.97004 2.83507 5.58422 0 0
4.99718 2.82908 5.56479 0 0
5.15295 2.79634 5.57716 0 0
5.37528 2.761 6.27141 0 0
5.26501 2.77114 5.52709 0 0
5.30451 2.76348 5.57615 0 0
5.3724 2.75244 5.77568 0 0
5.43104 2.73682 5.60835 0 0
5.52262 2.71765 5.61897 0 0
5.62086 2.69806 5.67085 0 0
5.6437 2.69272 5.63807 0 0
5.70146 2.68048 5.64106 0 0
5.79102 2.66184 5.66625 0 0
5.85343 2.64924 5.6967 0 0
5.87057 2.64465 5.63667 0 0
5.92864 2.63268 5.63961 0 0
5.96448 2.62591 5.67521 0 0
6.11686 2.60524 6.3263 0 0
6.23556 2.57064 5.77869 0 0
6.30594 2.55511 5.77922 0 0
6.3585 2.54527 5.86829 0 0
6.39839 2.53697 5.88892 0 0
6.47611 2.52085 5.9164 0 0
6.52929 2.51125 6.00536 0 0
6.5566 2.50487 5.95754 0 0
1.84531 3.79483 4.06981 0 0
2.66748 3.44931 4.94146 0 0
2.71471 3.43537 4.93223 0 0
2.81327 3.41643 5.19667 0 0
2.77721 3.41737 4.8775 0 0
2.92007 3.38192 4.8639 0 0
2.94107 3.37634 4.84564 0 0
3.04728 3.35073 4.8817 0 0
3.06663 3.34489 4.84957 0 0
3.10425 3.33674 4.91315 0 0
3.12405 3.33061 4.88093 0 0
3.18237 3.31583 4.9121 0 0
3.22091 3.30721 4.9755 0 0
3.24933 3.2997 4.98414 0 0
3.26505 3.29368 4.92434 0 0
3.34962 3.27076 4.9362 0 0
3.38422 3.26226 4.972 0 0
3.41123 3.25464 4.96672 0 0
3.45131 3.24543 5.02982 0 0
3.47345 3.23834 4.99713 0 0
3.53337 3.22227 5.0138 0 0
3.57366 3.21306 5.07685 0 0
3.59061 3.20669 5.01682 0 0
3.64768 3.19124 5.01987 0 0
3.68788 3.18214 5.08294 0 0
3.71524 3.17456 5.0776 0 0
3.90119 3.13932 5.60864 0 0
3.8793 3.13303 5.18742 0 0
3.89692 3.12643 5.12725 0 0
3.94822 3.11581 5.24489 0 0
3.96603 3.10913 5.18468 0 0
4.00201 3.10026 5.22021 0 0
4.0742 3.08239 5.29122 0 0
4.09748 3.07497 5.25831 0 0
4.12341 3.0672 5.23906 0 0
4.20637 3.04789 5.3647 0 0
4.23757 3.03943 5.37279 0 0
4.26623 3.03128 5.3672 0 0
4.30264 3.02221 5.40264 0 0
4.34942 3.01189 5.49279 0 0
4.37554 3.00405 5.4735 0 0
4.45107 2.98566 5.55804 0 0
4.48497 2.97699 5.57979 0 0
4.51117 2.9693 5.5605 0 0
4.54257 2.96107 5.56856 0 0
4.57402 2.95295 5.57661 0 0
4.62107 2.94315 5.66672 0 0
4.62954 2.93817 5.55162 0 0
4.68986 2.92731 5.71007 0 0
4.75811 2.90965 5.5834 0 0
4.83845 2.89439 5.68127 0 0
4.88012 2.88395 5.57395 0 0
4.93726 2.87172 5.54872 0 0
4.97226 2.86484 5.5703 0 0
5.01242 2.85733 5.61924 0 0
5.02413 2.85319 5.51772 0 0
5.13907 2.83111 5.63726 0 0
5.23265 2.8113 5.64749 0 0
5.24908 2.80643 5.57341 0 0
5.2758 2.80033 5.55405 0 0
5.31022 2.79333 5.57574 0 0
5.32909 2.78821 5.51537 0 0
5.35308 2.7825 5.48236 0 0
5.408 2.77314 5.61352 0 0
5.42931 2.76783 5.56685 0 0
5.47638 2.75949 5.65699 0 0
5.516 2.74944 5.55007 0 0
5.55245 2.74249 5.58555 0 0
5.57327 2.73745 5.53899 0 0
5.61715 2.72967 5.61557 0 0
5.6453 2.72373 5.61012 0 0
5.66785 2.71838 5.57739 0 0
5.71346 2.71026 5.66781 0 0
5.73568 2.70493 5.63515 0 0
5.75008 2.70054 5.56146 0 0
5.80065 2.6919 5.67928 0 0
5.85028 2.68081 5.64131 0 0
5.88041 2.67465 5.64966 0 0
5.9107 2.66851 5.65797 0 0
6.1036 2.62994 5.73407 0 0
6.25093 2.59979 5.81896 0 0
6.32892 2.58338 5.86056 0 0
6.37622 2.57417 5.92229 0 0
6.39538 2.56834 5.8335 0 0
6.44573 2.55888 5.90882 0 0
6.52346 2.54299 5.9363 0 0
6.58553 2.52952 5.88176 0 0
6.66472 2.51478 5.92317 0 0
6.72428 2.50538 6.05344 0 0
2.59672 3.50465 4.9419 0 0
2.62087 3.49596 4.93714 0 0
2.69231 3.47347 4.92314 0 0
2.73677 3.46058 4.90028 0 0
3.05578 3.39402 5.43384 0 0
2.96324 3.40188 4.81368 0 0
3.07568 3.38197 5.14634 0 0
3.09601 3.37254 4.98638 0 0
3.10526 3.36769 4.89948 0 0
3.12506 3.36149 4.86725 0 0
3.22776 3.34535 5.27271 0 0
3.18861 3.346 4.92578 0 0
3.21426 3.33886 4.92077 0 0
3.24531 3.33103 4.94308 0 0
3.26623 3.32433 4.91063 0 0
3.29511 3.31665 4.91918 0 0
3.32679 3.30857 4.94136 0 0
3.34833 3.30165 4.90879 0 0
3.48113 3.28147 5.46438 0 0
