0.001742 0.00114586 0.00212108 0.999996 
7.96114 2.71647 4.09352 0 0
7.99109 2.72046 4.10754 0 0
8.02118 2.72427 4.10764 0 0
8.0512 2.72805 4.13558 0 0
8.08125 2.73169 4.1496 0 0
8.11137 2.73521 4.12185 0 0
8.1412 2.73881 4.14979 0 0
8.17099 2.74231 4.14989 0 0
8.23034 2.74923 4.12223 0 0
8.25962 2.75282 4.1641 0 0
8.28883 2.75634 4.17811 0 0
8.31805 2.75977 4.15036 0 0
8.37575 2.76687 4.16447 0 0
8.46096 2.7776 4.16474 0 0
8.48681 2.78261 4.76356 0 0
8.51649 2.78494 4.19276 0 0
8.54401 2.78856 4.165 0 0
8.59822 2.79608 4.1791 0 0
8.67835 2.80775 4.17935 0 0
8.70473 2.81181 4.19336 0 0
6.37579 2.62678 4.18568 0 0
6.40535 2.62848 4.1997 0 0
6.43504 2.62999 4.13018 0 0
6.52242 2.63458 4.01908 0 0
6.57954 2.6375 3.96358 0 0
6.63628 2.64051 3.922 0 0
6.66449 2.64219 3.94994 0 0
6.75024 2.64713 3.89453 0 0
6.80848 2.65053 3.8251 0 0
6.83787 2.6524 3.83912 0 0
6.86779 2.6542 3.81138 0 0
6.89805 2.65606 3.81148 0 0
6.96037 2.65978 3.81169 0 0
6.9929 2.6615 3.78395 0 0
7.02635 2.66324 3.79798 0 0
7.0607 2.66491 3.81202 0 0
7.09578 2.66653 3.79822 0 0
7.13141 2.66815 3.77049 0 0
7.16729 2.6699 3.77061 0 0
7.20345 2.67171 3.77073 0 0
7.2398 2.67362 3.77085 0 0
7.2763 2.6756 3.75705 0 0
7.31272 2.67776 3.7711 0 0
7.34906 2.68007 3.78514 0 0
7.3854 2.68241 3.75742 0 0
7.42136 2.68496 3.75753 0 0
7.45693 2.68766 3.75765 0 0
7.49185 2.69051 3.75777 0 0
7.5256 2.6936 3.79965 0 0
7.55879 2.69675 3.79976 0 0
7.65564 2.70709 3.82792 0 0
7.71817 2.71492 3.96736 0 0
7.74923 2.71886 3.98138 0 0
7.78012 2.72285 3.98148 0 0
7.81063 2.72702 4.03728 0 0
7.84108 2.73116 4.0513 0 0
7.87137 2.73532 4.06532 0 0
7.90173 2.73935 4.02364 0 0
7.93153 2.74364 4.10728 0 0
7.9616 2.74768 4.10737 0 0
7.99168 2.75161 4.09355 0 0
8.02167 2.75552 4.12149 0 0
8.05173 2.75927 4.12158 0 0
8.08177 2.76295 4.12168 0 0
8.11173 2.76656 4.12178 0 0
8.14148 2.77019 4.14972 0 0
8.17119 2.77375 4.16374 0 0
8.23023 2.78079 4.17785 0 0
8.25956 2.78429 4.17795 0 0
8.28875 2.78778 4.17804 0 0
8.31787 2.79122 4.15029 0 0
8.37544 2.79824 4.15047 0 0
8.48826 2.81247 4.15083 0 0
8.54325 2.81976 4.17885 0 0
8.59741 2.82719 4.20687 0 0
8.62438 2.83088 4.17911 0 0
8.70452 2.84231 4.08189 0 0
6.13159 2.64576 4.58859 0 0
6.34418 2.65603 4.19943 0 0
6.37401 2.65774 4.19953 0 0
6.40386 2.65939 4.15785 0 0
6.46306 2.66268 4.07451 0 0
6.52086 2.66601 4.10255 0 0
6.54957 2.66746 4.06087 0 0
6.57804 2.66895 4.04704 0 0
6.60671 2.67026 3.94967 0 0
6.63513 2.67176 3.92192 0 0
6.66348 2.67336 3.92201 0 0
6.69192 2.675 3.92211 0 0
6.72051 2.67665 3.90828 0 0
6.74939 2.67824 3.85268 0 0
6.77815 2.68009 3.89455 0 0
6.80749 2.68177 3.83895 0 0
6.83696 2.68359 3.83905 0 0
6.89714 2.68724 3.8114 0 0
6.92787 2.68914 3.82543 0 0
6.95936 2.69096 3.81161 0 0
6.99176 2.69269 3.78387 0 0
7.02547 2.69429 3.75614 0 0
7.05979 2.69602 3.79802 0 0
7.09488 2.69766 3.79814 0 0
7.13043 2.69933 3.79826 0 0
7.16644 2.70099 3.77053 0 0
7.20254 2.70283 3.78458 0 0
7.23893 2.70469 3.77078 0 0
7.27531 2.70673 3.78482 0 0
7.31181 2.70882 3.77102 0 0
7.34814 2.71112 3.78507 0 0
7.38435 2.71351 3.78519 0 0
7.42034 2.71603 3.77138 0 0
7.4558 2.71878 3.78543 0 0
7.49068 2.72162 3.78554 0 0
7.52481 2.72456 3.7578 0 0
7.55798 2.72779 3.79968 0 0
7.59084 2.73105 3.78587 0 0
7.62319 2.73454 3.7999 0 0
7.6553 2.73808 3.78607 0 0
7.71793 2.74598 3.95336 0 0
7.7491 2.74993 3.96739 0 0
7.77996 2.75401 4.00926 0 0
7.81076 2.75808 4.00936 0 0
7.84129 2.76224 4.0373 0 0
7.87167 2.76641 4.05132 0 0
7.90184 2.77063 4.09319 0 0
7.93209 2.7747 4.07936 0 0
7.96203 2.77889 4.13515 0 0
7.99212 2.78284 4.13525 0 0
8.0222 2.78674 4.13534 0 0
8.05226 2.79049 4.12152 0 0
8.08219 2.79423 4.13554 0 0
8.11218 2.79783 4.10778 0 0
8.14173 2.80158 4.1775 0 0
8.17154 2.80505 4.13582 0 0
8.20106 2.80858 4.13592 0 0
8.23051 2.81207 4.12209 0 0
8.25964 2.81564 4.15003 0 0
8.28868 2.81916 4.16404 0 0
8.31756 2.82268 4.17806 0 0
8.34633 2.82618 4.17815 0 0
8.37488 2.82972 4.19217 0 0
8.40329 2.83322 4.19226 0 0
8.43158 2.83671 4.17843 0 0
8.45955 2.84026 4.19244 0 0
8.48742 2.84376 4.1786 0 0
8.51496 2.84739 4.20654 0 0
8.54241 2.85092 4.1927 0 0
8.62363 2.86187 4.19296 0 0
8.65077 2.86535 4.08165 0 0
8.67706 2.86939 4.1792 0 0
8.70354 2.87328 4.19321 0 0
8.73032 2.87697 4.0819 0 0
8.75628 2.88121 4.17945 0 0
8.7824 2.8854 4.20738 0 0
3.21839 2.70817 3.18589 0 0
5.78548 2.66051 6.11901 0 0
5.91136 2.66651 5.52069 0 0
5.94125 2.66891 5.79927 0 0
6.21793 2.68248 5.28501 0 0
6.25113 2.68218 4.43575 0 0
6.28186 2.68353 4.28269 0 0
6.31198 2.68524 4.28279 0 0
6.37229 2.68853 4.1716 0 0
6.40218 2.69027 4.14385 0 0
6.43158 2.69225 4.21357 0 0
6.46104 2.69406 4.21367 0 0
6.49066 2.69555 4.10238 0 0
6.51996 2.69682 3.96323 0 0
6.54843 2.69847 4.0051 0 0
6.57677 2.70009 4.04697 0 0
6.60571 2.70128 3.8939 0 0
6.63372 2.70312 4.00539 0 0
6.66248 2.70449 3.90802 0 0
6.69109 2.70608 3.88026 0 0
6.71985 2.70765 3.83859 0 0
6.74847 2.70947 3.88045 0 0
6.7776 2.71112 3.83878 0 0
6.80685 2.71286 3.82495 0 0
6.86633 2.71649 3.81123 0 0
6.89668 2.71831 3.7974 0 0
6.92759 2.72011 3.78358 0 0
6.95911 2.72194 3.78369 0 0
6.99148 2.72373 3.79772 0 0
7.02506 2.72535 3.76999 0 0
7.05932 2.72705 3.79795 0 0
7.1298 2.73036 3.79819 0 0
7.16572 2.73201 3.77046 0 0
7.2019 2.73375 3.74273 0 0
7.23811 2.73567 3.75678 0 0
