-0.000470787 0.00031065 0.000786763 1.0 
5.83327 5.04381 6.96292 0 0
5.86512 5.04691 6.78187 0 0
5.8972 5.0501 6.82361 0 0
6.09006 5.06661 6.80949 0 0
6.28334 5.07968 6.78146 0 0
6.34742 5.08405 6.64215 0 0
6.37956 5.08643 6.80921 0 0
6.41136 5.08865 6.71171 0 0
6.4431 5.09089 6.66991 0 0
6.53761 5.09725 6.66981 0 0
6.56893 5.09927 6.7951 0 0
6.63089 5.10297 6.64187 0 0
6.75427 5.11089 6.47466 0 0
6.81621 5.1154 6.59992 0 0
6.84724 5.11775 6.62774 0 0
6.87834 5.12013 6.61378 0 0
6.94095 5.12499 6.5998 0 0
6.97262 5.12743 6.68331 0 0
7.13384 5.13782 6.47429 0 0
7.16678 5.13992 6.52995 0 0
7.20003 5.14216 6.73878 0 0
7.23294 5.14416 6.43242 0 0
7.26628 5.14644 6.46024 0 0
7.29977 5.14883 6.5159 0 0
7.33325 5.15122 6.46017 0 0
7.3678 5.15431 7.43482 0 0
7.43459 5.15897 6.7107 0 0
7.50214 5.16384 6.52962 0 0
7.53598 5.16608 6.44604 0 0
7.60389 5.17043 6.48775 0 0
7.6378 5.17262 6.52949 0 0
7.73887 5.17931 6.55724 0 0
7.77262 5.18182 6.90531 0 0
7.83858 5.18635 6.58499 0 0
7.87129 5.18868 6.48749 0 0
8.09257 5.20263 6.57081 0 0
8.1528 5.2056 6.48721 0 0
8.21219 5.20887 6.59855 0 0
8.24153 5.21064 6.65421 0 0
8.27066 5.2125 6.69596 0 0
8.41368 5.22359 6.75151 0 0
8.52749 5.23521 8.06026 0 0
8.58233 5.24015 6.72349 0 0
8.63847 5.24652 6.98799 0 0
8.83215 5.27202 7.07134 0 0
8.9145 5.28402 7.58645 0 0
9.28726 5.31713 7.55823 0 0
9.3652 5.32247 7.43283 0 0
5.08414 5.01338 7.81301 0 0
5.18245 5.02075 7.38126 0 0
5.44482 5.04185 7.06075 0 0
5.47738 5.04468 7.06072 0 0
5.50976 5.0475 6.96322 0 0
5.60674 5.05646 7.03274 0 0
5.67079 5.06253 6.80989 0 0
5.70289 5.06574 6.85163 0 0
5.73492 5.06897 6.86552 0 0
5.79893 5.07553 6.86546 0 0
5.89501 5.08544 6.85144 0 0
5.99126 5.09466 6.80957 0 0
6.05547 5.09977 6.69811 0 0
6.1844 5.10851 6.79546 0 0
6.28096 5.11484 6.69789 0 0
6.31313 5.11706 6.71178 0 0
6.34525 5.11933 6.7396 0 0
6.40928 5.124 6.83701 0 0
6.441 5.12624 6.73951 0 0
6.50418 5.13058 6.69767 0 0
6.53549 5.13253 6.62802 0 0
6.56675 5.13442 6.66976 0 0
6.59792 5.13628 6.72543 0 0
6.62888 5.13809 6.68363 0 0
6.65972 5.13989 6.58613 0 0
6.69067 5.14186 6.65572 0 0
6.72148 5.14382 6.59999 0 0
6.75219 5.14579 6.4468 0 0
6.78316 5.14803 6.54423 0 0
6.87606 5.15497 6.4606 0 0
6.90746 5.15756 6.66943 0 0
6.97025 5.1624 6.55797 0 0
7.00192 5.16463 6.43262 0 0
7.03406 5.1668 6.53006 0 0
7.09906 5.17082 6.68316 0 0
7.19768 5.17687 6.65522 0 0
7.2307 5.17893 6.4881 0 0
7.26409 5.18122 6.55768 0 0
7.33103 5.18596 6.52977 0 0
7.36461 5.18842 6.48797 0 0
7.39836 5.191 6.54363 0 0
7.432 5.19349 6.41828 0 0
7.49962 5.19845 6.32074 0 0
7.66934 5.20941 6.57121 0 0
7.76988 5.21604 6.40402 0 0
7.80327 5.21846 6.55715 0 0
7.86908 5.22316 6.50139 0 0
8.05985 5.23558 6.5569 0 0
8.09045 5.2371 6.54295 0 0
8.15171 5.24075 7.50365 0 0
8.18048 5.24167 6.43147 0 0
8.21017 5.24342 6.5846 0 0
8.23936 5.24507 6.45926 0 0
8.26851 5.24693 6.501 0 0
8.29743 5.24888 6.50097 0 0
8.49622 5.26571 6.62609 0 0
8.60841 5.277 6.65383 0 0
8.63623 5.27999 6.54241 0 0
8.66416 5.28321 6.612 0 0
8.80252 5.30063 6.61186 0 0
9.07386 5.33333 6.93183 0 0
9.15414 5.34007 7.46087 0 0
9.31153 5.35191 7.3354 0 0
9.5443 5.36924 7.71112 0 0
9.69774 5.37931 7.82236 0 0
4.51251 5.00303 8.16165 0 0
4.57256 5.00734 8.11982 0 0
4.63363 5.01201 8.06407 0 0
4.66436 5.01433 7.85517 0 0
4.72705 5.01946 8.05005 0 0
4.85415 5.02958 7.81321 0 0
5.18053 5.05504 7.54833 0 0
5.21341 5.05757 7.46476 0 0
5.31178 5.06524 7.10263 0 0
5.44257 5.07611 6.92149 0 0
5.47511 5.07897 6.92146 0 0
5.50745 5.08178 6.78219 0 0
5.53978 5.0847 6.74038 0 0
5.60429 5.09078 6.75424 0 0
