4.65031e-05 0.00136895 -0.0148064 0.999889 
5.50419 2.2709 4.02019 0 0
5.53459 2.27261 4.02019 0 0
5.56488 2.27437 4.03411 0 0
5.59503 2.27606 4.02019 0 0
5.62503 2.27774 3.99234 0 0
5.65489 2.27954 4.00626 0 0
5.68463 2.28128 3.99234 0 0
5.71429 2.28311 3.99234 0 0
5.74388 2.28493 3.97841 0 0
5.77344 2.28688 3.99234 0 0
5.80293 2.28884 3.99233 0 0
5.83242 2.29084 3.99233 0 0
5.8619 2.29295 4.02018 0 0
5.89139 2.29476 3.93663 0 0
5.92087 2.29691 3.96448 0 0
5.95036 2.29892 3.95055 0 0
5.97987 2.30086 3.92271 0 0
6.00941 2.30287 3.93663 0 0
6.03898 2.30477 3.93663 0 0
6.06861 2.30656 3.93663 0 0
6.09828 2.30807 3.867 0 0
6.128 2.30964 3.88093 0 0
6.15775 2.31112 3.89485 0 0
6.18755 2.31233 3.85308 0 0
6.21735 2.31366 3.88093 0 0
6.24714 2.31495 3.9227 0 0
6.27693 2.31594 3.86701 0 0
6.30667 2.3172 3.9227 0 0
6.33638 2.31822 3.89486 0 0
6.366 2.31948 3.95055 0 0
6.39558 2.32053 3.92271 0 0
6.42508 2.32181 3.96448 0 0
6.45448 2.32288 3.90878 0 0
6.48377 2.32432 3.96448 0 0
6.54201 2.32708 3.90878 0 0
6.59968 2.33088 4.02017 0 0
6.65679 2.3352 4.06194 0 0
6.71358 2.33984 3.99232 0 0
6.77029 2.34514 4.02016 0 0
6.79871 2.34807 4.08977 0 0
6.82727 2.35074 4.048 0 0
6.85598 2.35353 4.03407 0 0
6.88486 2.35665 4.13153 0 0
4.34953 2.25749 4.56311 0 0
4.42974 2.26001 4.56312 0 0
4.51171 2.26223 4.45173 0 0
4.68219 2.26703 4.29857 0 0
4.77042 2.26982 4.29858 0 0
4.80008 2.27072 4.27073 0 0
4.85976 2.27259 4.22896 0 0
4.9499 2.27555 4.17327 0 0
4.98009 2.2767 4.20112 0 0
5.01034 2.27776 4.1872 0 0
5.07104 2.2799 4.14543 0 0
5.10146 2.28093 4.08973 0 0
5.19301 2.28469 4.13151 0 0
5.22361 2.28573 4.04796 0 0
5.2542 2.2872 4.10366 0 0
5.28482 2.28846 4.07581 0 0
5.31545 2.28989 4.08974 0 0
5.34609 2.29122 4.06189 0 0
5.37672 2.29271 4.07581 0 0
5.40734 2.29419 4.06189 0 0
5.43792 2.29569 4.04796 0 0
5.46847 2.29719 4.02012 0 0
5.49892 2.29885 4.03404 0 0
5.52931 2.30052 4.03404 0 0
5.55962 2.30221 4.03404 0 0
5.58978 2.30385 4.00619 0 0
5.61983 2.30564 4.02011 0 0
5.64977 2.3073 3.97834 0 0
5.67961 2.30911 3.97834 0 0
5.70937 2.31093 3.96441 0 0
5.73905 2.31288 3.97834 0 0
5.76871 2.31484 3.97833 0 0
5.79833 2.3169 3.99226 0 0
5.82794 2.31901 4.00618 0 0
5.85753 2.32109 4.00618 0 0
5.88713 2.32314 3.97833 0 0
5.91673 2.32508 3.90871 0 0
5.94635 2.32722 3.92263 0 0
5.97596 2.32947 3.97832 0 0
6.00561 2.33146 3.9644 0 0
6.03531 2.3334 3.95047 0 0
6.06503 2.33518 3.9087 0 0
6.09479 2.33695 3.9087 0 0
6.12459 2.33855 3.88085 0 0
6.15441 2.34016 3.89477 0 0
6.18426 2.34159 3.88085 0 0
6.21412 2.34302 3.89477 0 0
6.24396 2.34434 3.89477 0 0
6.27378 2.34553 3.853 0 0
6.30357 2.34676 3.853 0 0
6.33329 2.34828 3.95047 0 0
6.36297 2.34945 3.92262 0 0
6.39256 2.35081 3.95047 0 0
6.42207 2.35211 3.95047 0 0
6.45149 2.35347 3.95047 0 0
6.4808 2.35491 3.95047 0 0
6.50998 2.35627 3.89478 0 0
6.53904 2.35791 3.89478 0 0
6.56794 2.35977 3.92262 0 0
6.62533 2.36371 3.9087 0 0
6.65384 2.36608 3.96439 0 0
6.68226 2.36831 3.92261 0 0
6.7106 2.37085 3.95046 0 0
