0.00466313 0.00393825 0.00175825 0.99998 
5.99253 2.2225 4.52555 0 0
6.0213 2.22339 4.60936 0 0
6.05118 2.22323 4.58179 0 0
6.08059 2.22339 4.60991 0 0
6.11028 2.22326 4.61019 0 0
6.19901 2.22281 4.63887 0 0
6.22952 2.2218 4.54168 0 0
6.28834 2.22157 4.57008 0 0
6.31804 2.22118 4.54251 0 0
6.34742 2.22108 4.54279 0 0
6.37724 2.2206 4.48737 0 0
6.40658 2.22057 4.47372 0 0
6.46466 2.22114 4.47425 0 0
6.49339 2.22188 4.48844 0 0
6.52231 2.22262 4.46085 0 0
6.55072 2.22395 4.47503 0 0
6.60895 2.22581 4.33631 0 0
6.63753 2.22734 4.32264 0 0
6.66614 2.22895 4.30897 0 0
6.78244 2.23539 4.18467 0 0
6.84119 2.23925 4.18519 0 0
6.87112 2.24106 4.17153 0 0
6.90114 2.24311 4.18572 0 0
6.93182 2.24489 4.17206 0 0
6.99441 2.24846 4.15869 0 0
7.05994 2.25105 4.04788 0 0
7.12626 2.25429 4.03455 0 0
7.19362 2.2577 4.03515 0 0
7.22679 2.26014 4.11899 0 0
7.39896 2.26872 3.9395 0 0
4.39533 2.2385 5.88913 0 0
4.84121 2.23249 5.1553 0 0
4.93289 2.23253 5.10045 0 0
4.96419 2.23209 5.0172 0 0
5.02546 2.2325 5.00384 0 0
5.05622 2.2327 4.9902 0 0
5.08726 2.23272 4.94871 0 0
5.11769 2.23333 4.97684 0 0
5.1488 2.23341 4.93536 0 0
5.18031 2.23323 4.8521 0 0
5.24257 2.23362 4.76912 0 0
5.27306 2.23442 4.79725 0 0
5.30379 2.23507 4.79753 0 0
5.33449 2.23575 4.79781 0 0
5.36551 2.23614 4.75633 0 0
5.3965 2.23658 4.71484 0 0
5.45798 2.23759 4.64577 0 0
5.48824 2.23827 4.63213 0 0
5.51831 2.2389 4.61848 0 0
5.54779 2.23984 4.64659 0 0
5.60715 2.24111 4.61929 0 0
5.63698 2.24157 4.57778 0 0
5.66636 2.24242 4.57805 0 0
5.72518 2.24409 4.56466 0 0
5.75425 2.24526 4.59277 0 0
5.78357 2.24622 4.59304 0 0
5.81315 2.24697 4.56546 0 0
5.8426 2.24781 4.5518 0 0
5.87193 2.24873 4.55207 0 0
5.90184 2.24918 4.49664 0 0
5.93098 2.25019 4.52475 0 0
5.9611 2.25033 4.45541 0 0
5.98985 2.25152 4.53922 0 0
6.01881 2.25242 4.60911 0 0
6.04888 2.25228 4.56761 0 0
6.0782 2.25267 4.60966 0 0
6.1078 2.25277 4.62386 0 0
6.13742 2.25281 4.63806 0 0
6.19745 2.25201 4.569 0 0
6.22644 2.25242 4.63889 0 0
6.25669 2.25173 4.56955 0 0
6.37492 2.25118 4.51496 0 0
6.404 2.25144 4.52915 0 0
6.43438 2.25066 4.39019 0 0
6.46361 2.25094 4.36261 0 0
6.49139 2.25255 4.47425 0 0
6.52033 2.25331 4.44667 0 0
6.55006 2.25354 4.32162 0 0
6.66438 2.25943 4.26693 0 0
6.75068 2.26475 4.23985 0 0
6.7798 2.26657 4.22618 0 0
6.8097 2.26794 4.15682 0 0
6.89912 2.27384 4.17153 0 0
7.36405 2.29784 3.9668 0 0
4.3916 2.26744 5.90279 0 0
4.50379 2.26714 5.90384 0 0
4.56478 2.26449 5.58415 0 0
4.65436 2.2635 5.47359 0 0
4.83867 2.26024 5.02973 0 0
4.9295 2.26089 5.05842 0 0
4.96049 2.26064 5.00301 0 0
4.99049 2.2613 5.05899 0 0
5.02158 2.2611 5.00358 0 0
5.05205 2.2615 5.01778 0 0
5.08361 2.26103 4.9206 0 0
5.11441 2.26127 4.90696 0 0
5.26903 2.26273 4.79699 0 0
5.29974 2.26332 4.79727 0 0
5.33093 2.26353 4.74186 0 0
5.3613 2.26442 4.76999 0 0
5.42259 2.26566 4.7427 0 0
5.45382 2.26565 4.64551 0 0
5.48414 2.2663 4.63187 0 0
5.51412 2.26705 4.63214 0 0
5.54394 2.26781 4.63241 0 0
5.57401 2.26825 4.59091 0 0
5.60348 2.26915 4.6051 0 0
5.63327 2.26978 4.57753 0 0
5.66275 2.27066 4.57779 0 0
5.69233 2.27149 4.56414 0 0
5.72215 2.27211 4.52264 0 0
5.75132 2.27333 4.55075 0 0
5.78099 2.27412 4.52317 0 0
5.81027 2.27527 4.53736 0 0
5.83984 2.27617 4.5237 0 0
5.86941 2.27704 4.51004 0 0
5.89864 2.2782 4.53816 0 0
5.92802 2.27916 4.55235 0 0
5.95757 2.27991 4.55262 0 0
6.01609 2.28164 4.6367 0 0
6.04609 2.28172 4.60913 0 0
6.0761 2.28172 4.58156 0 0
6.10549 2.28217 4.6236 0 0
6.13514 2.28232 4.6378 0 0
6.1649 2.28233 4.63808 0 0
6.1945 2.28244 4.65228 0 0
6.22405 2.28252 4.66648 0 0
6.25432 2.28196 4.59714 0 0
6.28403 2.28187 4.58349 0 0
6.31352 2.28191 4.58377 0 0
6.34343 2.28159 4.52835 0 0
6.40208 2.28197 4.51497 0 0
6.48971 2.28315 4.43222 0 0
6.51839 2.28417 4.43248 0 0
6.54798 2.28452 4.32135 0 0
6.63319 2.28922 4.33603 0 0
6.66267 2.29006 4.2249 0 0
6.72036 2.29327 4.16971 0 0
6.77803 2.29718 4.18414 0 0
6.86717 2.30254 4.12923 0 0
7.08992 2.31419 3.99196 0 0
7.26041 2.32265 3.93778 0 0
7.36402 2.3286 3.91085 0 0
4.30685 2.29617 5.86 0 0
4.33425 2.29577 5.81848 0 0
4.36098 2.29615 5.87443 0 0
4.86424 2.29001 5.14113 0 0
4.95614 2.28978 5.05844 0 0
5.01756 2.28986 5.01724 0 0
5.04801 2.29021 5.03144 0 0
5.26465 2.29124 4.82458 0 0
5.35722 2.29245 4.7558 0 0
5.38855 2.29247 4.67254 0 0
5.44945 2.29378 4.65918 0 0
5.47963 2.29451 4.65945 0 0
5.51019 2.29484 4.60403 0 0
5.54035 2.29538 4.57646 0 0
5.56987 2.2964 4.60458 0 0
5.59932 2.29747 4.63269 0 0
5.6296 2.29779 4.56335 0 0
5.65881 2.29906 4.60538 0 0
5.68887 2.2996 4.54996 0 0
5.71827 2.30074 4.56415 0 0
5.7482 2.30146 4.52265 0 0
5.7776 2.30264 4.53684 0 0
5.80026 2.30955 5.27502 0 0
5.83616 2.30524 4.59306 0 0
5.86571 2.30628 4.59333 0 0
5.89543 2.30717 4.57967 0 0
5.9253 2.30787 4.5521 0 0
5.95523 2.30845 4.52452 0 0
5.98377 2.31016 4.6501 0 0
